Designator,Mid X,Mid Y,Layer,Rotation
U25,60.7mm,-46.0mm,top,0.0
R25,56.9mm,-41.6mm,top,90.0
L25,63.9mm,-41.6mm,top,0.0
D25,63.3mm,-50.2mm,top,180.0
C25,56.7mm,-50.2mm,top,90.0
R125,60.65mm,-41.55mm,top,90.0
U26,72.7mm,-46.0mm,top,0.0
R26,68.9mm,-41.6mm,top,90.0
L26,75.9mm,-41.6mm,top,0.0
D26,75.3mm,-50.2mm,top,180.0
C26,68.7mm,-50.2mm,top,90.0
R126,72.65mm,-41.55mm,top,90.0
U27,84.7mm,-46.0mm,top,0.0
R27,80.9mm,-41.6mm,top,90.0
L27,87.9mm,-41.6mm,top,0.0
D27,87.3mm,-50.2mm,top,180.0
C27,80.7mm,-50.2mm,top,90.0
R127,84.65mm,-41.55mm,top,90.0
U28,96.7mm,-46.0mm,top,0.0
R28,92.9mm,-41.6mm,top,90.0
L28,99.9mm,-41.6mm,top,0.0
D28,99.3mm,-50.2mm,top,180.0
C28,92.7mm,-50.2mm,top,90.0
R128,96.65mm,-41.55mm,top,90.0
U29,108.7mm,-46.0mm,top,0.0
R29,104.9mm,-41.6mm,top,90.0
L29,111.9mm,-41.6mm,top,0.0
D29,111.3mm,-50.2mm,top,180.0
C29,104.7mm,-50.2mm,top,90.0
R129,108.65mm,-41.55mm,top,90.0
U30,120.7mm,-46.0mm,top,0.0
R30,116.9mm,-41.6mm,top,90.0
L30,123.9mm,-41.6mm,top,0.0
D30,123.3mm,-50.2mm,top,180.0
C30,116.7mm,-50.2mm,top,90.0
R130,120.65mm,-41.55mm,top,90.0
U31,132.7mm,-46.0mm,top,0.0
R31,128.9mm,-41.6mm,top,90.0
L31,135.9mm,-41.6mm,top,0.0
D31,135.3mm,-50.2mm,top,180.0
C31,128.7mm,-50.2mm,top,90.0
R131,132.65mm,-41.55mm,top,90.0
U32,144.7mm,-46.0mm,top,0.0
R32,140.9mm,-41.6mm,top,90.0
L32,147.9mm,-41.6mm,top,0.0
D32,147.3mm,-50.2mm,top,180.0
C32,140.7mm,-50.2mm,top,90.0
R132,144.65mm,-41.55mm,top,90.0
U33,156.7mm,-46.0mm,top,0.0
R33,152.9mm,-41.6mm,top,90.0
L33,159.9mm,-41.6mm,top,0.0
D33,159.3mm,-50.2mm,top,180.0
C33,152.7mm,-50.2mm,top,90.0
R133,156.65mm,-41.55mm,top,90.0
U34,168.7mm,-46.0mm,top,0.0
R34,164.9mm,-41.6mm,top,90.0
L34,171.9mm,-41.6mm,top,0.0
D34,171.3mm,-50.2mm,top,180.0
C34,164.7mm,-50.2mm,top,90.0
R134,168.65mm,-41.55mm,top,90.0
U35,180.7mm,-46.0mm,top,0.0
R35,176.9mm,-41.6mm,top,90.0
L35,183.9mm,-41.6mm,top,0.0
D35,183.3mm,-50.2mm,top,180.0
C35,176.7mm,-50.2mm,top,90.0
R135,180.65mm,-41.55mm,top,90.0
U36,192.7mm,-46.0mm,top,0.0
R36,188.9mm,-41.6mm,top,90.0
L36,195.9mm,-41.6mm,top,0.0
D36,195.3mm,-50.2mm,top,180.0
C36,188.7mm,-50.2mm,top,90.0
R136,192.65mm,-41.55mm,top,90.0
U37,60.7mm,-60.0mm,top,0.0
R37,56.9mm,-55.6mm,top,90.0
L37,63.9mm,-55.6mm,top,0.0
D37,63.3mm,-64.2mm,top,180.0
C37,56.7mm,-64.2mm,top,90.0
R137,60.65mm,-55.55mm,top,90.0
U38,72.7mm,-60.0mm,top,0.0
R38,68.9mm,-55.6mm,top,90.0
L38,75.9mm,-55.6mm,top,0.0
D38,75.3mm,-64.2mm,top,180.0
C38,68.7mm,-64.2mm,top,90.0
R138,72.65mm,-55.55mm,top,90.0
U39,84.7mm,-60.0mm,top,0.0
R39,80.9mm,-55.6mm,top,90.0
L39,87.9mm,-55.6mm,top,0.0
D39,87.3mm,-64.2mm,top,180.0
C39,80.7mm,-64.2mm,top,90.0
R139,84.65mm,-55.55mm,top,90.0
U40,96.7mm,-60.0mm,top,0.0
R40,92.9mm,-55.6mm,top,90.0
L40,99.9mm,-55.6mm,top,0.0
D40,99.3mm,-64.2mm,top,180.0
C40,92.7mm,-64.2mm,top,90.0
R140,96.65mm,-55.55mm,top,90.0
U41,108.7mm,-60.0mm,top,0.0
R41,104.9mm,-55.6mm,top,90.0
L41,111.9mm,-55.6mm,top,0.0
D41,111.3mm,-64.2mm,top,180.0
C41,104.7mm,-64.2mm,top,90.0
R141,108.65mm,-55.55mm,top,90.0
U42,120.7mm,-60.0mm,top,0.0
R42,116.9mm,-55.6mm,top,90.0
L42,123.9mm,-55.6mm,top,0.0
D42,123.3mm,-64.2mm,top,180.0
C42,116.7mm,-64.2mm,top,90.0
R142,120.65mm,-55.55mm,top,90.0
U43,132.7mm,-60.0mm,top,0.0
R43,128.9mm,-55.6mm,top,90.0
L43,135.9mm,-55.6mm,top,0.0
D43,135.3mm,-64.2mm,top,180.0
C43,128.7mm,-64.2mm,top,90.0
R143,132.65mm,-55.55mm,top,90.0
U44,144.7mm,-60.0mm,top,0.0
R44,140.9mm,-55.6mm,top,90.0
L44,147.9mm,-55.6mm,top,0.0
D44,147.3mm,-64.2mm,top,180.0
C44,140.7mm,-64.2mm,top,90.0
R144,144.65mm,-55.55mm,top,90.0
U45,156.7mm,-60.0mm,top,0.0
R45,152.9mm,-55.6mm,top,90.0
L45,159.9mm,-55.6mm,top,0.0
D45,159.3mm,-64.2mm,top,180.0
C45,152.7mm,-64.2mm,top,90.0
R145,156.65mm,-55.55mm,top,90.0
U46,168.7mm,-60.0mm,top,0.0
R46,164.9mm,-55.6mm,top,90.0
L46,171.9mm,-55.6mm,top,0.0
D46,171.3mm,-64.2mm,top,180.0
C46,164.7mm,-64.2mm,top,90.0
R146,168.65mm,-55.55mm,top,90.0
U47,180.7mm,-60.0mm,top,0.0
R47,176.9mm,-55.6mm,top,90.0
L47,183.9mm,-55.6mm,top,0.0
D47,183.3mm,-64.2mm,top,180.0
C47,176.7mm,-64.2mm,top,90.0
R147,180.65mm,-55.55mm,top,90.0
U48,192.7mm,-60.0mm,top,0.0
R48,188.9mm,-55.6mm,top,90.0
L48,195.9mm,-55.6mm,top,0.0
D48,195.3mm,-64.2mm,top,180.0
C48,188.7mm,-64.2mm,top,90.0
R148,192.65mm,-55.55mm,top,90.0
U49,60.7mm,-74.0mm,top,0.0
R49,56.9mm,-69.6mm,top,90.0
L49,63.9mm,-69.6mm,top,0.0
D49,63.3mm,-78.2mm,top,180.0
C49,56.7mm,-78.2mm,top,90.0
R149,60.65mm,-69.55mm,top,90.0
U50,72.7mm,-74.0mm,top,0.0
R50,68.9mm,-69.6mm,top,90.0
L50,75.9mm,-69.6mm,top,0.0
D50,75.3mm,-78.2mm,top,180.0
C50,68.7mm,-78.2mm,top,90.0
R150,72.65mm,-69.55mm,top,90.0
U51,84.7mm,-74.0mm,top,0.0
R51,80.9mm,-69.6mm,top,90.0
L51,87.9mm,-69.6mm,top,0.0
D51,87.3mm,-78.2mm,top,180.0
C51,80.7mm,-78.2mm,top,90.0
R151,84.65mm,-69.55mm,top,90.0
U52,96.7mm,-74.0mm,top,0.0
R52,92.9mm,-69.6mm,top,90.0
L52,99.9mm,-69.6mm,top,0.0
D52,99.3mm,-78.2mm,top,180.0
C52,92.7mm,-78.2mm,top,90.0
R152,96.65mm,-69.55mm,top,90.0
U53,108.7mm,-74.0mm,top,0.0
R53,104.9mm,-69.6mm,top,90.0
L53,111.9mm,-69.6mm,top,0.0
D53,111.3mm,-78.2mm,top,180.0
C53,104.7mm,-78.2mm,top,90.0
R153,108.65mm,-69.55mm,top,90.0
U54,120.7mm,-74.0mm,top,0.0
R54,116.9mm,-69.6mm,top,90.0
L54,123.9mm,-69.6mm,top,0.0
D54,123.3mm,-78.2mm,top,180.0
C54,116.7mm,-78.2mm,top,90.0
R154,120.65mm,-69.55mm,top,90.0
U55,132.7mm,-74.0mm,top,0.0
R55,128.9mm,-69.6mm,top,90.0
L55,135.9mm,-69.6mm,top,0.0
D55,135.3mm,-78.2mm,top,180.0
C55,128.7mm,-78.2mm,top,90.0
R155,132.65mm,-69.55mm,top,90.0
U56,144.7mm,-74.0mm,top,0.0
R56,140.9mm,-69.6mm,top,90.0
L56,147.9mm,-69.6mm,top,0.0
D56,147.3mm,-78.2mm,top,180.0
C56,140.7mm,-78.2mm,top,90.0
R156,144.65mm,-69.55mm,top,90.0
U57,156.7mm,-74.0mm,top,0.0
R57,152.9mm,-69.6mm,top,90.0
L57,159.9mm,-69.6mm,top,0.0
D57,159.3mm,-78.2mm,top,180.0
C57,152.7mm,-78.2mm,top,90.0
R157,156.65mm,-69.55mm,top,90.0
U58,168.7mm,-74.0mm,top,0.0
R58,164.9mm,-69.6mm,top,90.0
L58,171.9mm,-69.6mm,top,0.0
D58,171.3mm,-78.2mm,top,180.0
C58,164.7mm,-78.2mm,top,90.0
R158,168.65mm,-69.55mm,top,90.0
U59,180.7mm,-74.0mm,top,0.0
R59,176.9mm,-69.6mm,top,90.0
L59,183.9mm,-69.6mm,top,0.0
D59,183.3mm,-78.2mm,top,180.0
C59,176.7mm,-78.2mm,top,90.0
R159,180.65mm,-69.55mm,top,90.0
U60,192.7mm,-74.0mm,top,0.0
