Comment,Designator,Footprint,LCSC
NTC 10k B3434,"TH1,TH10,TH11,TH12,TH13,TH14,TH15,TH16,TH17,TH18,TH19,TH2,TH20,TH21,TH22,TH23,TH24,TH25,TH26,TH27,TH28,TH29,TH3,TH30,TH31,TH32,TH33,TH34,TH35,TH36,TH37,TH38,TH39,TH4,TH40,TH41,TH42,TH43,TH44,TH45,TH46,TH47,TH48,TH49,TH5,TH50,TH51,TH52,TH53,TH54,TH55,TH56,TH57,TH58,TH59,TH6,TH60,TH61,TH62,TH63,TH64,TH65,TH66,TH67,TH68,TH69,TH7,TH70,TH71,TH72,TH73,TH74,TH75,TH76,TH77,TH78,TH79,TH8,TH80,TH81,TH82,TH83,TH84,TH85,TH86,TH87,TH88,TH89,TH9,TH90,TH91,TH92,TH93,TH94,TH95,TH96",R_0603_1608Metric,C13564
100nF,"C1,C2,C3,C4,C5,C6",C_0603_1608Metric,C14663
10k 1%,"R1,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R2,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R3,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R4,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R5,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R6,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R7,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R8,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R9,R90,R91,R92,R93,R94,R95,R96",R_0603_1608Metric,C25804
CD74HC4067M96,"U1,U2,U3,U4,U5,U6",SOIC-24_L15.4-W7.5-P1.27-LS10.3-BL,C496123
HL-C3535F15R3GA-ZW 660nm,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED3,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED4,LED40,LED41,LED42,LED43,LED44,LED45,LED46,LED47,LED48,LED49,LED5,LED50,LED51,LED52,LED53,LED54,LED55,LED56,LED57,LED58,LED59,LED6,LED60,LED61,LED62,LED63,LED64,LED65,LED66,LED67,LED68,LED69,LED7,LED70,LED71,LED72,LED73,LED74,LED75,LED76,LED77,LED78,LED79,LED8,LED80,LED81,LED82,LED83,LED84,LED85,LED86,LED87,LED88,LED89,LED9,LED90,LED91,LED92,LED93,LED94,LED95,LED96",LED-SMD_3P-L3.5-W3.5_NLW3535AV2,C5445086
