Designator,Mid X,Mid Y,Layer,Rotation
LED87,117.88mm,-111.69mm,top,0.0
TH87,121.48mm,-109.69mm,top,90.0
R87,121.48mm,-113.69mm,top,90.0
LED88,126.88mm,-111.69mm,top,0.0
TH88,130.48mm,-109.69mm,top,90.0
R88,130.48mm,-113.69mm,top,90.0
LED89,135.88mm,-111.69mm,top,0.0
TH89,139.48mm,-109.69mm,top,90.0
R89,139.48mm,-113.69mm,top,90.0
LED90,144.88mm,-111.69mm,top,0.0
TH90,148.48mm,-109.69mm,top,90.0
R90,148.48mm,-113.69mm,top,90.0
LED91,153.88mm,-111.69mm,top,0.0
TH91,157.48mm,-109.69mm,top,90.0
R91,157.48mm,-113.69mm,top,90.0
LED92,162.88mm,-111.69mm,top,0.0
TH92,166.48mm,-109.69mm,top,90.0
R92,166.48mm,-113.69mm,top,90.0
LED93,171.88mm,-111.69mm,top,0.0
TH93,175.48mm,-109.69mm,top,90.0
R93,175.48mm,-113.69mm,top,90.0
LED94,180.88mm,-111.69mm,top,0.0
TH94,184.48mm,-109.69mm,top,90.0
R94,184.48mm,-113.69mm,top,90.0
LED95,189.88mm,-111.69mm,top,0.0
TH95,193.48mm,-109.69mm,top,90.0
R95,193.48mm,-113.69mm,top,90.0
LED96,198.88mm,-111.69mm,top,0.0
TH96,202.48mm,-109.69mm,top,90.0
R96,202.48mm,-113.69mm,top,90.0
U1,75.22mm,-55.84mm,top,-90.0
C1,85.72mm,-62.24mm,top,0.0
U2,75.48mm,-80.29mm,top,-90.0
C2,85.98mm,-86.69mm,top,0.0
U3,75.48mm,-105.21mm,top,-90.0
C3,85.98mm,-111.61mm,top,0.0
U4,223.44mm,-105.21mm,top,90.0
C4,212.94mm,-98.81mm,top,180.0
U5,223.44mm,-80.29mm,top,90.0
C5,212.94mm,-73.89mm,top,180.0
U6,223.44mm,-55.84mm,top,90.0
C6,212.94mm,-49.44mm,top,180.0
